SrNo,Municpalties,Municpalties Seat,State
1108,San Cristóbal Suchixtlahuaca,San Cristóbal Suchixtlahuaca,Oaxaca
1109,San Dionisio del Mar,San Dionisio del Mar,Oaxaca
1110,San Dionisio Ocotepec,San Dionisio Ocotepec,Oaxaca
1111,San Dionisio Ocotlán,San Dionisio Ocotlán,Oaxaca
1112,San Esteban Atatlahuca,San Esteban Atatlahuca,Oaxaca
1113,San Felipe Jalapa de Díaz,San Felipe Jalapa de Díaz,Oaxaca
1114,San Felipe Tejalapam,San Felipe Tejalapam,Oaxaca
1115,San Felipe Usila,San Felipe Usila,Oaxaca
1116,San Francisco Cahuacúa,San Francisco Cahuacúa,Oaxaca
1117,San Francisco Cajonos,San Francisco Cajonos,Oaxaca
1118,San Francisco Chapulapa,San Francisco Chapulapa,Oaxaca
1119,San Francisco Chindúa,San Francisco Chindúa,Oaxaca
1120,San Francisco del Mar,San Francisco del Mar,Oaxaca
1121,San Francisco Huehuetlán,San Francisco Huehuetlán,Oaxaca
1122,San Francisco Ixhuatán,San Francisco Ixhuatán,Oaxaca
1123,San Francisco Jaltepetongo,San Francisco Jaltepetongo,Oaxaca
1124,San Francisco Lachigoló,San Francisco Lachigoló,Oaxaca
1125,San Francisco Logueche,San Francisco Logueche,Oaxaca
1126,San Francisco Nuxaño,San Francisco Nuxaño,Oaxaca
1127,San Francisco Ozolotepec,San Francisco Ozolotepec,Oaxaca
1128,San Francisco Solá,San Francisco Solá,Oaxaca
1129,San Francisco Telixtlahuaca,San Francisco Telixtlahuaca,Oaxaca
1130,San Francisco Teopan,San Francisco Teopan,Oaxaca
1131,San Francisco Tlapancingo,San Francisco Tlapancingo,Oaxaca
1132,San Gabriel Mixtepec,San Gabriel Mixtepec,Oaxaca
1133,San Ildefonso Amatlán,San Ildefonso Amatlán,Oaxaca
1134,San Ildefonso Solá,San Ildefonso Solá,Oaxaca
1135,San Ildefonso Villa Alta,San Ildefonso Villa Alta,Oaxaca
1136,San Jacinto Amilpas,San Jacinto Amilpas,Oaxaca
1137,San Jacinto Tlacotepec,San Jacinto Tlacotepec,Oaxaca
1138,San Jerónimo Coatlán,San Jerónimo Coatlán,Oaxaca
1139,San Jerónimo Silacayoapilla,San Jerónimo Silacayoapilla,Oaxaca
1140,San Jerónimo Sosola,San Jerónimo Sosola,Oaxaca
1141,San Jerónimo Taviche,San Jerónimo Taviche,Oaxaca
1142,San Jerónimo Tecoatl,San Jerónimo Tecoatl,Oaxaca
1143,San Jerónimo Tlacochahuaya,San Jerónimo Tlacochahuaya,Oaxaca
1144,San Jorge Nuchita,San Jorge Nuchita,Oaxaca
1145,San José Ayuquila,San José Ayuquila,Oaxaca
1146,San José Chinantequilla (Oaxaca),Totontepec Villa de Morelos,Oaxaca
1147,San José Chiltepec,San José Chiltepec,Oaxaca
1148,San José del Peñasco,San José del Peñasco,Oaxaca
1149,San José del Progreso,San José del Progreso,Oaxaca
1150,San José Estancia Grande,San José Estancia Grande,Oaxaca
1151,San José Independencia,San José Independencia,Oaxaca
1152,San José Lachiguiri,San José Lachiguiri,Oaxaca
1153,San José Tenango,San José Tenango,Oaxaca
1154,San Juan Achiutla,San Juan Achiutla,Oaxaca
1155,San Juan Atepec,San Juan Atepec,Oaxaca
1156,San Juan Bautista Atatlahuca,San Juan Bautista Atatlahuca,Oaxaca
1157,San Juan Bautista Coixtlahuaca,San Juan Bautista Coixtlahuaca,Oaxaca
1158,San Juan Bautista Cuicatlán,San Juan Bautista Cuicatlán,Oaxaca
1159,San Juan Bautista Guelache,San Juan Bautista Guelache,Oaxaca
1160,San Juan Bautista Jayacatlán,San Juan Bautista Jayacatlán,Oaxaca
1161,San Juan Bautista lo de Soto,San Juan Bautista lo de Soto,Oaxaca
1162,San Juan Bautista Suchitepec,San Juan Bautista Suchitepec,Oaxaca
1163,San Juan Bautista Tlachichilco,San Juan Bautista Tlachichilco,Oaxaca
1164,San Juan Bautista Tlacoatzintepec,San Juan Bautista Tlacoatzintepec,Oaxaca
1165,San Juan Bautista Tuxtepec,San Juan Bautista Tuxtepec,Oaxaca
1166,San Juan Bautista Valle Nacional,San Juan Bautista Valle Nacional,Oaxaca
1167,San Juan Cacahuatepec,San Juan Cacahuatepec,Oaxaca
1168,San Juan Chicomezúchil,San Juan Chicomezúchil,Oaxaca
1169,San Juan Chilateca,San Juan Chilateca,Oaxaca
1170,San Juan Cieneguilla,San Juan Cieneguilla,Oaxaca
1171,San Juan Coatzospam,San Juan Coatzospam,Oaxaca
1172,San Juan Colorado,San Juan Colorado,Oaxaca
1173,San Juan Comaltepec,San Juan Comaltepec,Oaxaca
1174,San Juan Cotzocón,San Juan Cotzocón,Oaxaca
1175,San Juan del Estado,San Juan del Estado,Oaxaca
1176,San Juan de los Cues,San Juan de los Cues,Oaxaca
1177,San Juan del Río,San Juan del Río,Oaxaca
1178,San Juan Diuxi,San Juan Diuxi,Oaxaca
1179,San Juan Guelavía,San Juan Guelavía,Oaxaca
1180,San Juan Guichicovi,San Juan Guichicovi,Oaxaca
1181,San Juan Ihualtepec,San Juan Ihualtepec,Oaxaca
1182,San Juan Juquila Mixes,San Juan Juquila Mixes,Oaxaca
1183,San Juan Juquila Vijanos,San Juan Juquila Vijanos,Oaxaca
1184,San Juan Lachao,San Juan Lachao,Oaxaca
1185,San Juan Lachigalla,San Juan Lachigalla,Oaxaca
1186,San Juan Lajarcia,San Juan Lajarcia,Oaxaca
1187,San Juan Lalana,San Juan Lalana,Oaxaca
1188,San Juan Mazatlán,San Juan Mazatlán,Oaxaca
1189,"San Juan Mixtepec, Mixteca","San Juan Mixtepec, Mixteca",Oaxaca
1190,"San Juan Mixtepec, Miahuatlán","San Juan Mixtepec, Miahuatlán",Oaxaca
1191,San Juan Ñumí,San Juan Ñumí,Oaxaca
1192,San Juan Ozolotepec,San Juan Ozolotepec,Oaxaca
1193,San Juan Petlapa,San Juan Petlapa,Oaxaca
1194,San Juan Quiahije,San Juan Quiahije,Oaxaca
1195,San Juan Quiotepec,San Juan Quiotepec,Oaxaca
1196,San Juan Sayultepec,San Juan Sayultepec,Oaxaca
1197,San Juan Tabaá,San Juan Tabaá,Oaxaca
1198,San Juan Tamazola,San Juan Tamazola,Oaxaca
1199,San Juan Teita,San Juan Teita,Oaxaca
1200,San Juan Teitipac,San Juan Teitipac,Oaxaca
1201,San Juan Tepeuxila,San Juan Tepeuxila,Oaxaca
1202,San Juan Teposcolula,San Juan Teposcolula,Oaxaca
1203,San Juan Yaeé,San Juan Yaeé,Oaxaca
1204,San Juan Yatzona,San Juan Yatzona,Oaxaca
1205,San Juan Yucuita,San Juan Yucuita,Oaxaca
1206,San Lorenzo,San Lorenzo,Oaxaca
1207,San Lorenzo Albarradas,San Lorenzo Albarradas,Oaxaca
1208,San Lorenzo Cacaotepec,San Lorenzo Cacaotepec,Oaxaca
1209,San Lorenzo Cuaunecuiltitla,San Lorenzo Cuaunecuiltitla,Oaxaca
1210,San Lorenzo Texmelucan,San Lorenzo Texmelucan,Oaxaca
1211,San Lorenzo Victoria,San Lorenzo Victoria,Oaxaca
1212,San Lucas Camotlán,San Lucas Camotlán,Oaxaca
1213,San Lucas Ojitlán,San Lucas Ojitlán,Oaxaca
1214,San Lucas Quiaviní,San Lucas Quiaviní,Oaxaca
1215,San Lucas Zoquiapam,San Lucas Zoquiapam,Oaxaca
1216,San Luis Amatlán,San Luis Amatlán,Oaxaca
1217,San Marcial Ozolotepec,San Marcial Ozolotepec,Oaxaca
1218,San Marcos Arteaga,San Marcos Arteaga,Oaxaca
1219,San Martín de los Cansecos,San Martín de los Cansecos,Oaxaca
1220,San Martín Huamelulpam,San Martín Huamelulpam,Oaxaca
1221,San Martín Itunyoso,San Martín Itunyoso,Oaxaca
1222,San Martín Lachilá,San Martín Lachilá,Oaxaca
1223,San Martín Peras,San Martín Peras,Oaxaca
1224,San Martín Tilcajete,San Martín Tilcajete,Oaxaca
1225,San Martín Toxpalan,San Martín Toxpalan,Oaxaca
1226,San Martín Zacatepec,San Martín Zacatepec,Oaxaca
1227,San Mateo Cajonos,San Mateo Cajonos,Oaxaca
1228,San Mateo del Mar,San Mateo del Mar,Oaxaca
1229,San Mateo Etlatongo,San Mateo Etlatongo,Oaxaca
1230,San Mateo Nejapam,San Mateo Nejapam,Oaxaca
1231,San Mateo Peñasco,San Mateo Peñasco,Oaxaca
1232,San Mateo Piñas,San Mateo Piñas,Oaxaca
1233,San Mateo Río Hondo,San Mateo Río Hondo,Oaxaca
1234,San Mateo Sindihui,San Mateo Sindihui,Oaxaca
1235,San Mateo Tlapiltepec,San Mateo Tlapiltepec,Oaxaca
1236,San Mateo Yoloxochitlán,San Mateo Yoloxochitlán,Oaxaca
1237,San Melchor Betaza,San Melchor Betaza,Oaxaca
1238,San Miguel Achiutla,San Miguel Achiutla,Oaxaca
1239,San Miguel Ahuehuetitlán,San Miguel Ahuehuetitlán,Oaxaca
1240,San Miguel Aloápam,San Miguel Aloápam,Oaxaca
1241,San Miguel Amatitlán,San Miguel Amatitlán,Oaxaca
1242,San Miguel Amatlán,San Miguel Amatlán,Oaxaca
1243,San Miguel Chicahua,San Miguel Chicahua,Oaxaca
1244,San Miguel Chimalapa,San Miguel Chimalapa,Oaxaca
1245,San Miguel Coatlán,San Miguel Coatlán,Oaxaca
1246,San Miguel del Puerto,San Miguel del Puerto,Oaxaca
1247,San Miguel del Río,San Miguel del Río,Oaxaca
1248,San Miguel Ejutla,San Miguel Ejutla,Oaxaca
1249,San Miguel El Grande,San Miguel El Grande,Oaxaca
1250,San Miguel Huautla,San Miguel Huautla,Oaxaca
1251,San Miguel Mixtepec,San Miguel Mixtepec,Oaxaca
1252,San Miguel Panixtlahuaca,San Miguel Panixtlahuaca,Oaxaca
1253,San Miguel Peras,San Miguel Peras,Oaxaca
1254,San Miguel Piedras,San Miguel Piedras,Oaxaca
1255,San Miguel Quetzaltepec,San Miguel Quetzaltepec,Oaxaca
1256,San Miguel Santa Flor,San Miguel Santa Flor,Oaxaca
1257,San Miguel Soyaltepec,Temascal or Nuevo Soyaltepec,Oaxaca
1258,San Miguel Suchixtepec,San Miguel Suchixtepec,Oaxaca
1259,San Miguel Tecomatlán,San Miguel Tecomatlán,Oaxaca
1260,San Miguel Tenango,San Miguel Tenango,Oaxaca
1261,San Miguel Tequixtepec,San Miguel Tequixtepec,Oaxaca
1262,San Miguel Tilquiapam,San Miguel Tilquiapam,Oaxaca
1263,San Miguel Tlacamama,San Miguel Tlacamama,Oaxaca
1264,San Miguel Tlacotepec,San Miguel Tlacotepec,Oaxaca
1265,San Miguel Tulancingo,San Miguel Tulancingo,Oaxaca
1266,San Miguel Yotao,San Miguel Yotao,Oaxaca
1267,San Nicolás,San Nicolás,Oaxaca
1268,San Nicolás Hidalgo,San Nicolás Hidalgo,Oaxaca
1269,San Pablo Coatlán,San Pablo Coatlán,Oaxaca
1270,San Pablo Cuatro Venados,San Pablo Cuatro Venados,Oaxaca
1271,San Pablo Etla,San Pablo Etla,Oaxaca
1272,San Pablo Huitzo,San Pablo Huitzo,Oaxaca
1273,San Pablo Huixtepec,San Pablo Huixtepec,Oaxaca
1274,San Pablo Macuiltianguis,San Pablo Macuiltianguis,Oaxaca
1275,San Pablo Tijaltepec,San Pablo Tijaltepec,Oaxaca
1276,San Pablo Villa de Mitla,San Pablo Villa de Mitla,Oaxaca
1277,San Pablo Yaganiza,San Pablo Yaganiza,Oaxaca
1278,San Pedro Amuzgos,San Pedro Amuzgos,Oaxaca
1279,San Pedro Apóstol,San Pedro Apóstol,Oaxaca
1280,San Pedro Atoyac,San Pedro Atoyac,Oaxaca
1281,San Pedro Cajonos,San Pedro Cajonos,Oaxaca
1282,San Pedro Comitancillo,San Pedro Comitancillo,Oaxaca
1283,San Pedro Coxcaltepec Cántaros,San Pedro Coxcaltepec Cántaros,Oaxaca
1284,San Pedro El Alto,San Pedro El Alto,Oaxaca
1285,San Pedro Huamelula,San Pedro Huamelula,Oaxaca
1286,San Pedro Huilotepec,San Pedro Huilotepec,Oaxaca
1287,San Pedro Ixcatlán,San Pedro Ixcatlán,Oaxaca
1288,San Pedro Ixtlahuaca,San Pedro Ixtlahuaca,Oaxaca
1289,San Pedro Jaltepetongo,San Pedro Jaltepetongo,Oaxaca
1290,San Pedro Jicayan,San Pedro Jicayan,Oaxaca
1291,San Pedro Jocotipac,San Pedro Jocotipac,Oaxaca
1292,San Pedro Juchatengo,San Pedro Juchatengo,Oaxaca
1293,San Pedro Mártir,San Pedro Mártir,Oaxaca
1294,San Pedro Mártir Quiechapa,San Pedro Mártir Quiechapa,Oaxaca
1295,San Pedro Mártir Yucuxaco,San Pedro Mártir Yucuxaco,Oaxaca
1296,"San Pedro Mixtepec, Juquila","San Pedro Mixtepec, Juquila",Oaxaca
1297,"San Pedro Mixtepec, Miahuatlán","San Pedro Mixtepec, Miahuatlán",Oaxaca
1298,San Pedro Molinos,San Pedro Molinos,Oaxaca
1299,San Pedro Nopala,San Pedro Nopala,Oaxaca
1300,San Pedro Ocopetatillo,San Pedro Ocopetatillo,Oaxaca
1301,San Pedro Ocotepec,San Pedro Ocotepec,Oaxaca
1302,San Pedro Pochutla,San Pedro Pochutla,Oaxaca
1303,San Pedro Quiatoni,San Pedro Quiatoni,Oaxaca
1304,San Pedro Sochiapam,San Pedro Sochiapam,Oaxaca
1305,San Pedro Tapanatepec,San Pedro Tapanatepec,Oaxaca
1306,San Pedro Taviche,San Pedro Taviche,Oaxaca
1307,San Pedro Teozacoalco,San Pedro Teozacoalco,Oaxaca
1308,San Pedro Teutila,San Pedro Teutila,Oaxaca
1309,San Pedro Tidaa,San Pedro Tidaa,Oaxaca
1310,San Pedro Topiltepec,San Pedro Topiltepec,Oaxaca
1311,San Pedro Totolapa,San Pedro Totolapa,Oaxaca
1312,San Pedro Yaneri,San Pedro Yaneri,Oaxaca
1313,San Pedro Yólox,San Pedro Yólox,Oaxaca
1314,San Pedro y San Pablo Ayutla,San Pedro y San Pablo Ayutla,Oaxaca
1315,San Pedro y San Pablo Teposcolula,San Pedro y San Pablo Teposcolula,Oaxaca
1316,San Pedro y San Pablo Tequixtepec,San Pedro y San Pablo Tequixtepec,Oaxaca
1317,San Pedro Yucunama,San Pedro Yucunama,Oaxaca
1318,San Raymundo Jalpan,San Raymundo Jalpan,Oaxaca
1319,San Sebastián Abasolo,San Sebastián Abasolo,Oaxaca
1320,San Sebastián Coatlán,San Sebastián Coatlán,Oaxaca
1321,San Sebastián Ixcapa,San Sebastián Ixcapa,Oaxaca
1322,San Sebastián Nicananduta,San Sebastián Nicananduta,Oaxaca
1323,San Sebastián Río Hondo,San Sebastián Río Hondo,Oaxaca
1324,San Sebastián Tecomaxtlahuaca,San Sebastián Tecomaxtlahuaca,Oaxaca
1325,San Sebastián Teitipac,San Sebastián Teitipac,Oaxaca
1326,San Sebastián Tutla,San Sebastián Tutla,Oaxaca
1327,San Simón Almolongas,San Simón Almolongas,Oaxaca
1328,San Simón Zahuatlan,San Simón Zahuatlan,Oaxaca
1329,Santa Ana,Santa Ana,Oaxaca
1330,Santa Ana Ateixtlahuaca,Santa Ana Ateixtlahuaca,Oaxaca
1331,Santa Ana Cuauhtémoc,Santa Ana Cuauhtémoc,Oaxaca
1332,Santa Ana del Valle,Santa Ana del Valle,Oaxaca
1333,Santa Ana Tavela,Santa Ana Tavela,Oaxaca
1334,Santa Ana Tlapacoyan,Santa Ana Tlapacoyan,Oaxaca
1335,Santa Ana Yareni,Santa Ana Yareni,Oaxaca
1336,Santa Ana Zegache,Santa Ana Zegache,Oaxaca
1337,Santa Catalina Quieri,Santa Catalina Quieri,Oaxaca
1338,Santa Catarina Cuixtla,Santa Catarina Cuixtla,Oaxaca
1339,Santa Catarina Ixtepeji,Santa Catarina Ixtepeji,Oaxaca
1340,Santa Catarina Juquila,Santa Catarina Juquila,Oaxaca
1341,Santa Catarina Lachatao,Santa Catarina Lachatao,Oaxaca
1342,Santa Catarina Loxicha,Santa Catarina Loxicha,Oaxaca
1343,Santa Catarina Mechoacán,Santa Catarina Mechoacán,Oaxaca
1344,Santa Catarina Minas,Santa Catarina Minas,Oaxaca
1345,Santa Catarina Quiané,Santa Catarina Quiané,Oaxaca
1346,Santa Catarina Quioquitani,Santa Catarina Quioquitani,Oaxaca
1347,Santa Catarina Tayata,Santa Catarina Tayata,Oaxaca
1348,Santa Catarina Ticua,Santa Catarina Ticua,Oaxaca
1349,Santa Catarina Yosonotú,Santa Catarina Yosonotú,Oaxaca
1350,Santa Catarina Zapoquila,Santa Catarina Zapoquila,Oaxaca
1351,Santa Cruz Acatepec,Santa Cruz Acatepec,Oaxaca
1352,Santa Cruz Amilpas,Santa Cruz Amilpas,Oaxaca
1353,Santa Cruz de Bravo,Santa Cruz de Bravo,Oaxaca
1354,Santa Cruz Itundujia,Santa Cruz Itundujia,Oaxaca
1355,Santa Cruz Mixtepec,Santa Cruz Mixtepec,Oaxaca
1356,Santa Cruz Nundaco,Santa Cruz Nundaco,Oaxaca
1357,Santa Cruz Papalutla,Santa Cruz Papalutla,Oaxaca
1358,Santa Cruz Tacache de Mina,Santa Cruz Tacache de Mina,Oaxaca
1359,Santa Cruz Tacahua,Santa Cruz Tacahua,Oaxaca
1360,Santa Cruz Tayata,Santa Cruz Tayata,Oaxaca
1361,Santa Cruz Xitla,Santa Cruz Xitla,Oaxaca
1362,Santa Cruz Xoxocotlán,Santa Cruz Xoxocotlán,Oaxaca
1363,Santa Cruz Zenzontepec,Santa Cruz Zenzontepec,Oaxaca
1364,Santa Gertrudis,Santa Gertrudis,Oaxaca
1365,Santa Inés del Monte,Santa Inés del Monte,Oaxaca
1366,Santa Inés de Zaragoza,Santa Inés de Zaragoza,Oaxaca
1367,Santa Inés Yatzeche,Santa Inés Yatzeche,Oaxaca
1368,Santa Lucía del Camino,Santa Lucía del Camino,Oaxaca
1369,Santa Lucía Miahuatlán,Santa Lucía Miahuatlán,Oaxaca
1370,Santa Lucía Monteverde,Santa Lucía Monteverde,Oaxaca
1371,Santa Lucía Ocotlán,Santa Lucía Ocotlán,Oaxaca
1372,Santa Magdalena Jicotlán,Santa Magdalena Jicotlán,Oaxaca
1373,Santa María Alotepec,Santa María Alotepec,Oaxaca
1374,Santa María Apazco,Santa María Apazco,Oaxaca
1375,Santa María Atzompa,Santa María Atzompa,Oaxaca
1376,Santa María Camotlán,Santa María Camotlán,Oaxaca
1377,Santa María Chachoapam,Santa María Chachoapam,Oaxaca
1378,Santa María Chilchotla,Santa María Chilchotla,Oaxaca
1379,Santa María Chimalapa,Santa María Chimalapa,Oaxaca
1380,Santa María Colotepec,Santa María Colotepec,Oaxaca
1381,Santa María Cortijo,Santa María Cortijo,Oaxaca
1382,Santa María Coyotepec,Santa María Coyotepec,Oaxaca
1383,Santa María del Rosario,Santa María del Rosario,Oaxaca
1384,Santa María del Tule,Santa María del Tule,Oaxaca
1385,Santa María Ecatepec,Santa María Ecatepec,Oaxaca
1386,Santa María Guelacé,Santa María Guelacé,Oaxaca
1387,Santa María Guienagati,Santa María Guienagati,Oaxaca
1388,Santa María Huatulco,Santa María Huatulco,Oaxaca
1389,Santa María Huazolotitlán,Santa María Huazolotitlán,Oaxaca
1390,Santa María Ipalapa,Santa María Ipalapa,Oaxaca
1391,Santa María Ixcatlán,Santa María Ixcatlan,Oaxaca
1392,Santa María Jacatepec,Santa María Jacatepec,Oaxaca
1393,Santa María Jalapa del Marqués,Santa María Jalapa del Marqués,Oaxaca
1394,Santa María Jaltianguis,Santa María Jaltianguis,Oaxaca
1395,Santa María la Asunción,Santa María la Asunción,Oaxaca
1396,Santa María Lachixío,Santa María Lachixío,Oaxaca
1397,Santa María Mixtequilla,Santa María Mixtequilla,Oaxaca
1398,Santa María Nativitas,Santa María Nativitas,Oaxaca
1399,Santa María Nduayaco,Santa María Nduayaco,Oaxaca
1400,Santa María Ozolotepec,Santa María Ozolotepec,Oaxaca
1401,Santa María Pápalo,Santa María Pápalo,Oaxaca
1402,Santa María Peñoles,Santa María Peñoles,Oaxaca
1403,Santa María Petapa,Santa María Petapa,Oaxaca
1404,Santa María Quiegolani,Santa María Quiegolani,Oaxaca
1405,Santa María Sola,Santa María Sola,Oaxaca
1406,Santa María Tataltepec,Santa María Tataltepec,Oaxaca
1407,Santa María Tecomavaca,Santa María Tecomavaca,Oaxaca
1408,Santa María Temaxcalapa,Santa María Temaxcalapa,Oaxaca
1409,Santa María Temaxcaltepec,Santa María Temaxcaltepec,Oaxaca
1410,Santa María Teopoxco,Santa María Teopoxco,Oaxaca
1411,Santa María Tepantlali,Santa María Tepantlali,Oaxaca
1412,Santa María Texcatitlán,Santa María Texcatitlán,Oaxaca
1413,Santa María Tlahuitoltepec,Santa María Tlahuitoltepec,Oaxaca
1414,Santa María Tlalixtac,Santa María Tlalixtac,Oaxaca
1415,Santa María Tonameca,Santa María Tonameca,Oaxaca
1416,Santa María Totolapilla,Santa María Totolapilla,Oaxaca
1417,Santa María Xadani,Santa María Xadani,Oaxaca
1418,Santa María Yalina,Santa María Yalina,Oaxaca
1419,Santa María Yavesía,Santa María Yavesía,Oaxaca
1420,Santa María Yolotepec,Santa María Yolotepec,Oaxaca
1421,Santa María Yosoyúa,Santa María Yosoyúa,Oaxaca
1422,Santa María Yucuhiti,Santa María Yucuhiti,Oaxaca
1423,Santa María Zacatepec,Santa María Zacatepec,Oaxaca
1424,Santa María Zaniza,Santa María Zaniza,Oaxaca
1425,Santa María Zoquitlán,Santa María Zoquitlán,Oaxaca
1426,Santiago Amoltepec,Santiago Amoltepec,Oaxaca
1427,Santiago Apoala,Santiago Apoala,Oaxaca
1428,Santiago Apóstol,Santiago Apóstol,Oaxaca
1429,Santiago Astata,Santiago Astata,Oaxaca
1430,Santiago Atitlán,Santiago Atitlán,Oaxaca
1431,Santiago Ayuquililla,Santiago Ayuquililla,Oaxaca
1432,Santiago Cacaloxtepec,Santiago Cacaloxtepec,Oaxaca
1433,Santiago Camotlán,Santiago Camotlán,Oaxaca
1434,Santiago Chazumba,Santiago Chazumba,Oaxaca
1435,Santiago Choapam,Santiago Choapam,Oaxaca
1436,Santiago Comaltepec,Santiago Comaltepec,Oaxaca
1437,Santiago del Río,Santiago del Río,Oaxaca
1438,Santiago Huajolotitlán,Santiago Huajolotitlán,Oaxaca
1439,Santiago Huauclilla,Santiago Huauclilla,Oaxaca
1440,Santiago Ihuitlán Plumas,Santiago Ihuitlán Plumas,Oaxaca
1441,Santiago Ixcuintepec,Santiago Ixcuintepec,Oaxaca
1442,Santiago Ixtayutla,Santiago Ixtayutla,Oaxaca
1443,Santiago Jamiltepec,Santiago Jamiltepec,Oaxaca
1444,Santiago Jocotepec,Santiago Jocotepec,Oaxaca
1445,Santiago Juxtlahuaca,Santiago Juxtlahuaca,Oaxaca
1446,Santiago Lachiguiri,Santiago Lachiguiri,Oaxaca
1447,Santiago Lalopa,Santiago Lalopa,Oaxaca
1448,Santiago Laollaga,Santiago Laollaga,Oaxaca
1449,Santiago Laxopa,Santiago Laxopa,Oaxaca
1450,Santiago Llano Grande,Santiago Llano Grande,Oaxaca
1451,Santiago Matatlán,Santiago Matatlán,Oaxaca
1452,Santiago Miltepec,Santiago Miltepec,Oaxaca
1453,Santiago Minas,Santiago Minas,Oaxaca
1454,Santiago Nacaltepec,Santiago Nacaltepec,Oaxaca
1455,Santiago Nejapilla,Santiago Nejapilla,Oaxaca
1456,Santiago Niltepec,Santiago Niltepec,Oaxaca
1457,Santiago Nundiche,Santiago Nundiche,Oaxaca
1458,Santiago Nuyoó,Santiago Nuyoó,Oaxaca
1459,Santiago Suchilquitongo,Santiago Suchilquitongo,Oaxaca
1460,Santiago Tamazola,Santiago Tamazola,Oaxaca
1461,Santiago Tapextla,Santiago Tapextla,Oaxaca
1462,Santiago Tenango,Santiago Tenango,Oaxaca
1463,Santiago Tepetlapa,Santiago Tepetlapa,Oaxaca
1464,Santiago Tetepec,Santiago Tetepec,Oaxaca
1465,Santiago Texcalcingo,Santiago Texcalcingo,Oaxaca
1466,Santiago Textitlán,Santiago Textitlán,Oaxaca
1467,Santiago Tilantongo,Santiago Tilantongo,Oaxaca
1468,Santiago Tillo,Santiago Tillo,Oaxaca
1469,Santiago Tlazoyaltepec,Santiago Tlazoyaltepec,Oaxaca
1470,Santiago Xanica,Santiago Xanica,Oaxaca
1471,Santiago Xiacuí,Santiago Xiacuí,Oaxaca
1472,Santiago Yaitepec,Santiago Yaitepec,Oaxaca
1473,Santiago Yaveo,Santiago Yaveo,Oaxaca
1474,Santiago Yolomécatl,Santiago Yolomécatl,Oaxaca
1475,Santiago Yosondúa,Santiago Yosondúa,Oaxaca
1476,Santiago Yucuyachi,Santiago Yucuyachi,Oaxaca
1477,Santiago Zacatepec,Santiago Zacatepec,Oaxaca
1478,Santiago Zoochila,Santiago Zoochila,Oaxaca
1479,Santo Domingo Albarradas,Santo Domingo Albarradas,Oaxaca
1480,Santo Domingo Armenta,Santo Domingo Armenta,Oaxaca
1481,Santo Domingo Chihuitán,Santo Domingo Chihuitán,Oaxaca
1482,Santo Domingo de Morelos,Santo Domingo de Morelos,Oaxaca
1483,Santo Domingo Ingenio,Santo Domingo Ingenio,Oaxaca
1484,Santo Domingo Ixcatlán,Santo Domingo Ixcatlán,Oaxaca
1485,Santo Domingo Nuxaá,Santo Domingo Nuxaá,Oaxaca
1486,Santo Domingo Ozolotepec,Santo Domingo Ozolotepec,Oaxaca
1487,Santo Domingo Petapa,Santo Domingo Petapa,Oaxaca
1488,Santo Domingo Roayaga,Santo Domingo Roayaga,Oaxaca
1489,Santo Domingo Tehuantepec,Santo Domingo Tehuantepec,Oaxaca
1490,Santo Domingo Teojomulco,Santo Domingo Teojomulco,Oaxaca
1491,Santo Domingo Tepuxtepec,Santo Domingo Tepuxtepec,Oaxaca
1492,Santo Domingo Tlatayapam,Santo Domingo Tlatayapam,Oaxaca
1493,Santo Domingo Tomaltepec,Santo Domingo Tomaltepec,Oaxaca
1494,Santo Domingo Tonalá,Santo Domingo Tonalá,Oaxaca
1495,Santo Domingo Tonaltepec,Santo Domingo Tonaltepec,Oaxaca
1496,Santo Domingo Xagacía,Santo Domingo Xagacía,Oaxaca
1497,Santo Domingo Yanhuitlán,Santo Domingo Yanhuitlán,Oaxaca
1498,Santo Domingo Yodohino,Santo Domingo Yodohino,Oaxaca
1499,Santo Domingo Zanatepec,Santo Domingo Zanatepec,Oaxaca
1500,Santos Reyes Nopala,Santos Reyes Nopala,Oaxaca
1501,Santos Reyes Pápalo,Santos Reyes Pápalo,Oaxaca
1502,Santos Reyes Tepejillo,Santos Reyes Tepejillo,Oaxaca
1503,Santos Reyes Yucuná,Santos Reyes Yucuná,Oaxaca
1504,Santo Tomás Jalieza,Santo Tomás Jalieza,Oaxaca
1505,Santo Tomás Mazaltepec,Santo Tomás Mazaltepec,Oaxaca
1506,Santo Tomás Ocotepec,Santo Tomás Ocotepec,Oaxaca
1507,Santo Tomás Tamazulapan,Santo Tomás Tamazulapan,Oaxaca
1508,San Vicente Coatlán,San Vicente Coatlán,Oaxaca
1509,San Vicente Lachixío,San Vicente Lachixío,Oaxaca
1510,San Vicente Nuñú,San Vicente Nuñú,Oaxaca
1511,Silacayoapam,Silacayoapam,Oaxaca
1512,Sitio de Xitlapehua,Sitio de Xitlapehua,Oaxaca
1513,Soledad Etla,Soledad Etla,Oaxaca
1514,Tamazulapam del Espíritu Santo,Tamazulapam del Espíritu Santo,Oaxaca
1515,Tamazulapam del Progreso,Tamazulapam del Progreso,Oaxaca
1516,Tanetze de Zaragoza,Tanetze de Zaragoza,Oaxaca
1517,Taniche,Taniche,Oaxaca
1518,Tataltepec de Valdés,Tataltepec de Valdés,Oaxaca
